file	speech	m_pitch	min_pit	max_pit	sd_pit	range_pit	convo	comfort	sing	inform	read	imperative	question	vocalplay	noisy	age	gender	coder	ID					
B-02_08_pass1__967__8.wav	CDS	249.418173	102.7284959	380.5256634	87.21818956	277.7971675	0	0	0	0	0	0	0	0	0	8	FEMALE	amy	B02					
B-02_08_pass1__967__83.wav	CDS	231.7002253	149.9896083	312.5866072	38.97297085	162.5969989	1	0	0	0	0	1	0	0	0	8	FEMALE	amy	B02					
B-02_08_pass1__967__86.wav	CDS	230.6872045	151.3638561	307.1221599	38.39748507	155.7583039	0	0	0	0	0	1	0	0	0	8	FEMALE	amy	B02					
B-02_08_pass1__967__87.wav	CDS	218.1802259	173.115155	243.3483184	17.04325583	70.23316341	0	0	0	1	0	0	0	0	0	8	FEMALE	amy	B02					
B-02_08_pass1__967__88.wav	CDS	208.4401524	172.4580691	306.0393	25.14686663	133.5812309	1	0	0	1	0	1	1	0	0	8	FEMALE	amy	B02					
B-03_15_pass1__150__7.wav	CDS	314.9864347	201.8594175	502.3449364	90.53803552	300.4855189	0	0	0	0	0	0	0	0	1	15	FEMALE	amy	B03					
B-04_14_pass1__433__11.wav	CDS	266.0705761	150.5938203	396.1567765	65.00259183	245.5629562	0	0	0	0	0	0	0	1	0	14	FEMALE	amy	B04					
B-04_14_pass1__433__7.wav	CDS	377.7643393	281.9439792	504.2423662	71.75377986	222.298387	0	0	0	0	0	0	0	1	0	14	FEMALE	amy	B04					
B-06_09_pass1__402__14.wav	CDS	284.6700733	116.5303097	472.2616411	111.3035413	355.7313315	0	0	0	0	0	0	0	0	1	9	FEMALE	amy	B06					
B-06_09_pass1__402__2.wav	CDS	206.1156392	118.3652169	297.3174427	45.47759866	178.9522257	0	0	0	1	0	0	0	0	0	9	FEMALE	amy	B06					
B-06_09_pass1__402__20.wav	CDS	365.7705206	158.5757178	613.6949203	138.7234926	455.1192025	0	1	0	1	0	0	0	0	0	9	FEMALE	amy	B06					
B-06_09_pass1__402__25.wav	CDS	269.9776684	101.3179638	658.096607	132.9704195	556.7786432	1	1	0	0	0	0	0	0	0	9	FEMALE	amy	B06					
B-06_09_pass1__402__30.wav	CDS	261.6428768	159.590504	347.2273182	42.42722931	187.6368142	0	0	0	0	0	0	0	0	1	9	FEMALE	amy	B06					
B-07_17_pass1__1217_1.wav	ADS	195.8486647	117.9367409	339.6041811	35.09405355	221.6674403	0	0	0	0	0	1	1	0	0	17	MALE	giselle	B07					
B-07_17_pass1__1217_19.wav	CDS	288.5354847	98.89951281	599.5740942	163.5219436	500.6745814	0	0	0	1	0	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_2.wav	ADS	159.2215171	102.0096388	233.7040516	29.50771873	131.6944128	0	0	0	0	0	0	1	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_20.wav	CDS	233.7322452	149.180652	432.6697468	80.96359228	283.4890947	0	0	0	1	0	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_25.wav	CDS	285.3845668	139.4349464	603.6532544	168.6252405	464.2183081	0	0	0	0	0	0	0	0	1	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_3.wav	ADS	134.6585823	89.96321821	272.9777735	36.04698509	183.0145553	0	0	0	0	0	0	1	0	0	17	MALE	giselle	B07					
B-07_17_pass1__1217_30.wav	CDS	165.6669633	102.3953793	238.3912904	36.09144635	135.9959111	0	0	0	0	0	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_34.wav	CDS	204.6904579	98.43259204	312.1681641	54.2615042	213.735572	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_37.wav	CDS	181.0540392	98.51562173	401.2674793	57.20209135	302.7518575	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_41.wav	CDS	335.9149465	99.76306367	541.0477579	135.3483981	441.2846942	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_42.wav	CDS	155.7551086	97.73576298	291.0880581	36.88078028	193.3522951	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_44.wav	CDS	193.7091867	99.02354766	277.7411112	44.69728296	178.7175635	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_45.wav	CDS	143.0656212	100.2993889	199.6536545	24.77948226	99.35426563	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_46.wav	CDS	265.0509335	96.91034185	395.4024483	98.83835917	298.4921064	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_47.wav	CDS	147.7044046	84.21255988	230.6237545	34.30366107	146.4111946	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_48.wav	CDS	202.9218119	118.6397875	283.2615089	50.51929752	164.6217214	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_49.wav	CDS	152.2932997	104.1160913	200.7081853	26.8115033	96.59209401	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_5.wav	ADS	150.2244092	96.70605926	222.2908529	33.11800341	125.5847936	0	0	0	1	0	0	1	0	0	17	MALE	giselle	B07					
B-07_17_pass1__1217_50.wav	CDS	238.8531556	177.9410118	313.3154035	53.78110905	135.3743917	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_51.wav	CDS	150.8108938	89.04481485	243.1867568	29.97583189	154.1419419	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_61.wav	CDS	224.3772712	99.63024026	379.876439	58.82006568	280.2461988	1	0	0	1	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_63.wav	ADS	141.9310788	104.4390262	242.3013699	35.72617121	137.8623438	0	0	0	0	0	0	1	0	0	17	MALE	giselle	B07					
B-07_17_pass1__1217_66.wav	CDS	220.4390502	96.09680352	422.1160048	44.93762725	326.0192013	0	0	0	1	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_68.wav	CDS	183.712073	99.04805326	203.703481	27.09784359	104.6554278	0	0	0	1	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_7.wav	ADS	161.6454103	116.6052541	230.030939	30.67350216	113.4256848	0	0	0	1	0	0	0	0	0	17	MALE	giselle	B07					
B-07_17_pass1__1217_70.wav	CDS	174.9198998	105.4586857	221.4983297	31.24240084	116.039644	0	0	0	1	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_75.wav	CDS	172.7531454	99.2554922	268.5234776	38.09945545	169.2679854	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_76.wav	CDS	233.8193929	125.1378971	344.0394839	56.13176085	218.9015868	0	0	0	0	1	0	0	0	0	17	FEMALE	giselle	B07					
B-07_17_pass1__1217_9.wav	ADS	181.8436104	98.31802199	391.9235793	42.00067937	293.6055573	1	0	0	1	0	0	0	0	0	17	MALE	giselle	B07					
B-08_11_pass1_913_1.wav	CDS	218.9367519	111.3564865	261.2129602	34.20850215	149.8564737	0	1	1	0	0	0	0	0	0	11	FEMALE	giselle	B08					
B-08_11_pass1_913_10.wav	CDS	267.7691258	175.5493818	304.062322	38.10247924	128.5129402	0	1	1	0	0	0	0	0	0	11	FEMALE	giselle	B08					
B-08_11_pass1_913_12.wav	CDS	217.0998092	78.38306079	302.5475785	54.79046091	224.1645178	0	1	1	0	0	0	0	0	0	11	FEMALE	giselle	B08					
B-08_11_pass1_913_9.wav	CDS	230.8423383	84.75724755	263.06387	61.37200871	178.3066225	0	1	1	0	0	0	0	0	0	11	FEMALE	giselle	B08					
B-08_11_pass1_913_5.wav	ADS	120.0465689	85.07416264	258.3055949	33.6419264	173.2314323	0	1	1	0	0	0	0	0	1	11	MALE	giselle	B08					
B-09_13_pass1_660_1.wav	CDS	235.7496905	139.0011278	375.0157545	34.70028284	236.0146267	0	0	0	1	0	1	0	0	0	13	FEMALE	giselle	B09					
B-09_13_pass1_660_3.wav	CDS	229.735111	132.867814	352.1335172	55.00693649	219.2657032	0	0	0	0	0	1	0	0	0	13	FEMALE	giselle	B09					
B-09_13_pass1_660_8.wav	CDS	202.7423499	159.2461028	251.4439186	20.0605316	92.1978158	1	0	0	0	0	1	0	0	0	13	FEMALE	giselle	B09					
B-10_12_pass1__841__1.wav	ADS	194.2817372	120.871896	272.1533199	33.38087884	151.2814239	0	0	0	1	0	0	0	0	0	12	MALE	amy	B10					
B-10_12_pass1__841__10.wav	CDS	172.4899821	110.7956273	279.0039359	51.72967972	168.2083087	0	0	0	0	0	0	1	0	0	12	FEMALE	amy	B10					
B-10_12_pass1__841__12.wav	CDS	199.396067	118.3328658	277.0345072	32.98898783	158.7016414	0	0	0	1	0	0	0	0	0	12	FEMALE	amy	B10					
B-10_12_pass1__841__16.wav	CDS	256.4840922	179.7536199	401.1061914	52.50781207	221.3525716	0	0	0	0	0	0	1	0	0	12	FEMALE	amy	B10					
B-10_12_pass1__841__21.wav	CDS	274.8381717	194.2538615	388.5933285	36.9360397	194.339467	0	0	0	1	0	0	1	0	0	12	FEMALE	amy	B10					
B-10_12_pass1__841__26.wav	CDS	225.9842868	99.33772313	393.1596176	57.26024314	293.8218944	0	0	0	1	0	1	0	0	0	12	FEMALE	amy	B10					
B-10_12_pass1__841__30.wav	CDS	215.6908732	113.6765924	383.7136602	53.47538316	270.0370678	1	0	0	0	0	0	1	0	0	12	FEMALE	amy	B10					
B-10_12_pass1__841__32.wav	CDS	237.143731	150.3216858	302.4511312	29.1496097	152.1294454	1	0	0	1	0	0	0	0	0	12	FEMALE	amy	B10					
B-10_12_pass1__841__4.wav	ADS	181.5461147	129.1452845	241.3061485	23.28726062	112.160864	1	0	0	0	0	0	0	0	0	12	MALE	amy	B10					
B-10_12_pass1__841__6.wav	CDS	249.0441446	155.0186459	529.2693711	98.69339742	374.2507251	0	0	0	0	0	0	1	0	0	12	FEMALE	amy	B10					
B-10_12_pass1__841__8.wav	CDS	276.680831	162.1041199	589.930468	133.62123	427.8263482	0	0	0	0	0	0	1	0	0	12	FEMALE	amy	B10					
B-11_17_pass1__117_1.wav	CDS	153.7836412	94.85343439	225.9557183	25.93006268	131.1022839	0	0	0	0	0	0	0	0	0	17	MALE	giselle	B11					
B-11_17_pass1__117_13.wav	CDS	149.5215807	105.9103272	378.0200102	53.18163186	272.109683	0	0	0	1	0	0	0	0	0	17	MALE	giselle	B11					
B-11_17_pass1__117_16.wav	CDS	171.7136947	113.3575615	256.2124441	31.69630905	142.8548826	0	0	0	0	0	0	0	0	0	17	MALE	giselle	B11					
B-11_17_pass1__117_23.wav	ADS	195.7541335	100.145725	447.2422225	63.81444101	347.0964976	0	0	0	0	0	0	0	0	0	17	MALE	giselle	B11					
B-11_17_pass1__117_25.wav	ADS	190.0113218	134.7059793	239.4359506	24.4331126	104.7299713	0	0	0	0	0	0	0	0	1	17	MALE	giselle	B11					
B-12_13_pass1__145_29.wav	CDS	198.7103693	126.2229258	235.8806515	20.62589484	109.6577256	0	0	0	0	0	0	0	1	0	13	FEMALE	giselle	B12					
B-12_13_pass1__145_31.wav	CDS	206.6419461	99.9934355	322.6085478	38.05052391	222.6151123	0	0	0	1	0	0	0	0	0	13	FEMALE	giselle	B12					
B-12_13_pass1__145_32.wav	CDS	238.2878856	191.5411263	309.4477745	26.82307733	117.9066483	0	0	0	0	0	0	0	0	0	13	FEMALE	giselle	B12					
B-12_13_pass1__145_33.wav	CDS	241.584561	210.1945661	265.3626533	14.00943182	55.16808717	0	0	0	0	0	0	0	0	0	13	FEMALE	giselle	B12					
B-12_13_pass1__145_35.wav	CDS	233.5266341	132.5660225	328.6124204	54.75946289	196.0463979	0	0	0	1	0	1	0	0	0	13	FEMALE	giselle	B12					
