"speech_register","seg_id","m","min_pit","max_pit","sd_pit","range_pit"
"IDS","B-01_06_pass1_1167_1",165.94836133721,99.3105977378622,261.366351301363,32.3480040439411,162.055753563501
"IDS","B-01_06_pass1_1167_12",141.52555502835,98.5810487040299,218.808640684674,19.7576155561936,120.227591980644
"IDS","B-01_06_pass1_1167_15",157.17697129926,96.2111325690315,261.071774930567,32.2644768557234,164.860642361536
"IDS","B-01_06_pass1_1167_17",128.436832657336,85.9392100331572,194.613914960948,28.0708545294477,108.674704927791
"IDS","B-01_06_pass1_1167_19",122.60072382898,91.0519094861978,176.709268475748,16.3586091495947,85.6573589895501
"IDS","B-01_06_pass1_1167_22",129.456162638857,96.7290260606392,237.811744580314,22.8258387767852,141.082718519675
"IDS","B-01_06_pass1_1167_4",172.187718130509,99.3158164200313,394.364880836582,39.803348126084,295.049064416551
"IDS","B-01_06_pass1_1167_8",153.582449446784,96.2236530434995,209.708625888568,22.2193682490955,113.484972845068
"IDS","B-01_06_pass1_1167_9",179.037776300496,116.650978102445,242.684078792782,29.9736640744572,126.033100690337
"IDS","B-01_06_pass1_151_13",241.722802162769,201.332900005762,483.613175830893,48.7782621019936,282.280275825131
"IDS","B-01_06_pass1_295_1",248.841779712714,196.597523949001,428.086973170489,69.9710629841176,231.489449221488
"IDS","B-01_06_pass1_295_11",276.316525522703,120,351.383736927242,45.3535621282285,231.383736927242
"IDS","B-01_06_pass1_295_12",262.479468934222,209.218493636798,321.346894698399,23.3691730967899,112.1284010616
"IDS","B-01_06_pass1_295_15",301.064159988778,161.000761117183,472.889361049814,60.4779582259263,311.888599932631
"IDS","B-01_06_pass1_295_20",246.692841440581,158.452814856726,341.699145556561,32.3407953239513,183.246330699836
"IDS","B-01_06_pass1_295_22",245.037072453364,116.959664723652,295.722411765125,34.7018991731866,178.762747041473
"IDS","B-01_06_pass1_295_24",271.378497197735,118.616105934537,465.342125178454,63.9805102463982,346.726019243918
"IDS","B-01_06_pass1_295_26",260.039246453735,159.138163650789,382.642298131452,41.3324875632955,223.504134480663
