file	register	m_pitch	min_pit	max_pit	sd_pit	range_pit	convo	comfort	sing	inform	read	imperative	question	vocalplay	noisy	age	adu_gender	coder	ID	chi_gender									
B-02_08_pass1_1256_32	IDS	222.092318	121.295979	313.347354	50.1139381	192.051375	0	0	0	0	0	0	1	0	0	8	female	emily	B-02	male									
B-02_08_pass1_1256_37	ADS	287.172719	199.971749	429.711229	69.8340909	229.73948	0	0	0	0	0	0	1	0	0	8	female	emily	B-02	male									
B-02_08_pass1_1256_38	ADS	209.986697	143.05642	343.423666	49.4312633	200.367246	0	0	0	0	0	0	0	0	0	8	male	emily	B-02	male									
B-02_08_pass1_1256_40	ADS	186.502386	98.0006238	388.303421	63.4449828	290.302797	1	0	0	1	0	0	0	0	0	8	male	emily	B-02	male									
B-02_08_pass1_1256_6	IDS	247.978775	99.1713101	513.516843	53.8115913	414.345533	0	0	0	1	0	0	0	0	1	8	female	emily	B-02	male									
B-02_08_pass1_1256_7	IDS	276.879236	160.268866	482.449687	80.1912251	322.180821	0	0	0	0	0	0	0	0	1	8	female	emily	B-02	male									
M-103-010723_pass1_736_1	IDS	241.212172	109.82711	499.240789	84.7619188	389.413679	0	0	0	0	0	0	1	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_10	IDS	225.055638	167.521735	270.282528	19.2504631	102.760793	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_12	IDS	235.963651	231.763148	242.620318	3.42012978	10.8571698	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_13	IDS	267.350239	251.972411	281.726409	9.33498354	29.7539978	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_14	IDS	218.839011	136.68334	287.115255	45.2280197	150.431915	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_15	IDS	267.970957	233.721428	301.110576	21.8134842	67.3891481	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_16	IDS	259.165999	211.342037	303.304217	23.4135723	91.9621805	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_19	IDS	232.923412	197.597267	288.86232	23.9724577	91.2650529	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_21	IDS	238.640478	140.446941	436.147367	75.8676999	295.700426	0	0	0	0	0	0	1	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_23	IDS	189.493895	129.729671	262.581625	41.1237884	132.851954	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_24	IDS	261.277156	232.372732	333.573452	24.706834	101.20072	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_26	IDS	210.827804	116.589776	281.440815	45.5679884	164.851039	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
